PRESSUREWINDSPEED,SPEED
1033,1
1034,1
1034,1
1034,1
1034,1
1034,1
1034,1
1034,1
1034,1
1034,1
1034,1
1034,1
1034,1
1034,1
1034,1
1033,1
1033,1
1032,1
1031,1
1031,1
1030,1
1030,1
1029,1
1029,1
1029,1
1029,1
1029,1
1029,1
1029,1
1029,1
1029,1
1029,1
1029,1
1029,1
1029,1
1030,1
1029,1
1029,1
1029,1
1029,1
1029,1
1029,1
1028,1
1028,1
1027,1
1028,1
1027,1
1028,1
1028,1
1028,1
1029,1
1029,1
1029,1
1029,1
1029,1
1030,1
1030,0
1030,1
1030,1
1030,1
1030,1
1030,1
1030,1
1029,1
1029,1
1029,1
1028,1
1028,1
1028,1
1028,1
1028,1
1028,1
1029,1
1029,1
1029,1
1029,1
1030,0
1030,0
1030,0
1030,0
1030,0
1031,0
1031,0
1031,0
1030,1
1031,1
1031,1
1030,1
1030,1
1029,1
1029,1
1028,1
1028,1
1029,1
1028,1
1028,1
1029,1
1029,1
1029,1
1029,1
1029,1
1030,0
1030,0
1030,0
1030,0
1030,1
1031,0
1031,0
1030,0
1031,1
1031,1
1030,1
1030,1
1029,1
1029,1
1029,1
1028,1
1028,1
1028,1
1028,1
1028,1
1028,1
1028,1
1028,1
1028,1
1028,1
1028,0
1028,0
1028,0
1028,1
1028,0
1028,1
1028,1
1028,1
1028,1
1027,1
1027,1
1026,1
1026,1
1026,1
1026,1
1026,1
1026,1
1026,1
1026,1
1026,1
1026,1
1026,1
1027,1
1027,1
1027,0
1027,0
1027,0
1027,1
1027,0
1027,1
1027,1
1027,1
1027,1
1026,1
1026,1
1026,1
1026,1
1026,1
1025,1
1025,1
1025,1
1025,1
1025,1
1025,1
1025,1
1025,1
1025,1
1025,1
1025,0
1025,0
1025,0
1025,0
1024,0
1024,0
1023,0
1023,1
1023,1
1022,1
1022,1
1021,1
1021,1
1020,1
1020,1
1021,1
1020,1
1020,1
1020,1
1021,1
1021,1
1022,1
1022,1
1023,1
1023,1
1023,1
1024,1
1024,1
1024,1
1025,1
1025,1
1025,1
1025,1
1026,1
1026,2
1026,2
1026,1
1026,2
1026,1
1027,2
1027,1
1027,2
1028,1
1028,2
1028,2
1028,2
1029,2
1029,2
1029,2
1029,2
1030,2
1030,2
1030,2
1031,2
1031,2
1031,2
1031,2
1031,2
1032,2
1032,2
1032,2
1032,2
1032,2
1032,2
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1031,1
1031,1
1031,1
1030,1
1030,1
1030,1
1030,1
1029,1
1029,1
1030,1
1029,1
1030,1
1030,1
1031,1
1031,1
1031,1
1031,1
1031,1
1031,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1031,1
1031,1
1030,1
1030,1
1030,1
1030,2
1030,2
1030,1
1030,1
1030,1
1031,1
1031,1
1031,1
1031,0
1031,0
1031,0
1031,1
1031,0
1031,0
1031,1
1031,1
1031,1
1030,1
1030,1
1030,2
1029,2
1029,2
1028,2
1028,2
1028,3
1027,3
1028,2
1027,2
1027,1
1028,2
1028,1
1028,1
1028,0
1028,0
1028,0
1028,0
1028,0
1028,0
1028,0
1029,1
1029,1
1028,1
1028,1
1028,1
1028,2
1027,2
1027,2
1027,2
1026,2
1026,2
1027,2
1027,2
1027,1
1027,1
1027,1
1027,1
1028,1
1028,0
1028,0
1028,0
1028,0
1029,0
1028,1
1029,1
1029,1
1028,1
1028,1
1028,1
1028,1
1027,1
1027,2
1027,1
1026,2
1026,1
1026,1
1026,1
1026,1
1026,1
1026,1
1026,0
1026,0
1026,0
1026,0
1027,0
1027,0
1027,0
1026,0
1027,1
1026,1
1026,1
1026,1
1025,1
1025,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,2
1024,1
1024,1
1025,1
1025,1
1025,1
1025,0
1025,0
1025,0
1026,0
1026,0
1026,1
1026,1
1026,1
1025,1
1025,1
1025,2
1024,2
1024,2
1024,2
1024,2
1023,3
1023,2
1024,2
1024,2
1024,2
1025,1
1025,1
1025,1
1026,1
1026,0
1026,0
1026,1
1026,1
1027,1
1027,1
1027,1
1027,1
1027,1
1027,1
1026,1
1026,2
1026,2
1026,2
1027,2
1026,3
1027,2
1027,2
1028,2
1028,2
1029,1
1030,1
1030,1
1030,1
1031,0
1031,0
1032,1
1032,0
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1031,2
1031,2
1031,2
1031,3
1009,2
997,3
1008,2
1009,2
1032,2
1032,2
1032,2
1033,2
1033,1
1034,1
1034,1
1034,1
1034,1
1035,1
1035,1
1035,1
1035,1
1035,1
1034,1
1034,1
1034,2
1015,2
1019,2
998,2
998,2
998,2
998,2
1003,2
1032,2
1032,2
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1031,1
1031,1
1030,1
1030,1
1029,1
1028,2
1010,1
1014,2
994,2
995,2
995,1
1005,1
1006,1
1029,1
1029,1
1029,1
1029,1
1029,0
1029,1
1029,1
1029,1
1028,1
1028,1
1028,1
1027,1
1027,1
1026,1
1026,1
1025,1
1025,1
1002,1
990,1
1001,1
1002,1
1024,2
1025,1
1025,1
1025,1
1025,1
1025,1
1025,1
1025,1
1025,1
1025,1
1025,1
1024,1
1025,1
1024,1
1024,1
1024,1
1023,1
1023,1
1023,1
1022,1
1024,2
1023,2
1024,2
1025,1
1026,2
1027,2
1027,1
1028,1
1029,1
1029,1
1030,0
1031,1
1031,1
1031,1
1032,1
1031,1
1032,1
1031,1
1031,1
1031,1
1030,1
1030,1
1030,2
1029,2
1030,2
1029,2
1029,2
1030,1
1030,2
1030,1
1030,1
1031,1
1031,1
1031,1
1031,1
1032,1
1032,1
1032,1
1032,1
1031,1
1032,1
1031,1
1031,1
1031,1
1031,1
1030,1
1030,1
1029,1
1029,1
1028,1
1028,1
1028,1
1027,1
1027,1
1027,1
1027,1
1027,1
1028,1
1027,1
1027,1
1028,1
1028,1
1028,1
1028,1
1028,1
1028,1
1028,2
1028,2
1028,2
1028,2
1028,2
1028,3
1028,2
1028,3
1028,3
1029,2
1029,2
1030,2
1030,2
1031,2
1031,1
1031,1
1032,1
1032,1
1032,1
1032,1
1033,1
1032,1
1033,1
1033,1
1032,1
1032,1
1032,2
1014,2
1018,2
998,2
1003,2
1032,2
1032,2
1032,2
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1031,1
1031,1
1031,1
1031,1
1031,1
1030,1
1030,1
1030,1
1029,1
1028,1
1028,1
1008,1
1012,1
992,2
997,1
1025,1
1025,1
1025,1
1025,1
1025,1
1025,1
1024,1
1024,1
1024,1
1023,1
1023,1
1023,1
1023,0
1023,0
1023,1
1023,1
1024,1
1024,1
1024,1
1024,1
1025,1
1025,1
1025,2
1026,1
1026,2
1026,2
1009,2
1015,1
996,2
1000,1
1030,1
1030,1
1030,1
1031,1
1031,1
1031,1
1032,1
1032,1
1032,1
1032,1
1032,1
1032,1
1031,1
1031,1
1013,1
1017,1
997,2
1002,2
1031,1
1031,1
1031,1
1031,1
1032,1
1032,1
1033,1
1033,1
1033,1
1033,0
1033,0
1033,1
1033,0
1033,1
1033,1
1033,1
1032,1
1032,1
1032,1
1031,1
1031,1
1030,1
1030,1
1030,1
1029,1
1029,1
1030,1
1030,1
1030,1
1030,1
1030,1
1030,1
997,0
997,0
997,0
997,0
997,0
1010,0
997,0
997,1
1008,1
997,1
996,1
996,1
996,1
996,1
996,1
996,1
996,1
996,1
996,1
996,1
998,1
998,1
998,1
998,0
1003,0
1031,0
1031,0
1032,0
1032,0
1032,0
1032,1
1032,0
1032,1
1020,3
1020,4
1019,4
1019,5
1018,4
1021,3
1017,4
1016,3
1016,4
1016,5
1016,4
1016,6
1017,4
1017,4
1021,3
1017,2
1017,2
1017,2
1017,2
1017,2
1021,1
1017,3
1017,1
1020,1
1016,4
1015,3
1015,4
1014,4
1013,4
1012,5
1012,6
1011,7
1010,9
1011,7
1011,5
1012,4
1013,4
1013,2
1012,4
1012,3
1012,3
1013,0
1013,1
1013,1
1016,2
1014,1
1013,1
1014,4
1012,2
1013,1
1012,3
1012,2
1012,4
1011,2
1011,3
1011,5
1016,3
1011,1
1011,1
1011,1
1012,1
1012,0
1014,1
1012,1
1013,3
1015,1
1013,2
1013,1
1015,1
1015,3
1014,2
1015,3
1015,1
1015,3
1015,2
1014,4
1014,1
1014,1
1014,1
1014,1
1012,1
1014,3
1014,3
1014,1
1014,1
1013,1
1014,2
1013,2
1014,1
1016,1
1014,2
1015,2
1018,2
1016,1
1017,1
1017,2
1017,2
1017,2
1017,2
1016,2
1015,2
1015,3
1015,3
1014,4
1014,5
1015,5
1018,3
1016,3
1016,3
1018,3
1018,3
1018,2
1020,2
1019,2
1019,1
1019,1
1020,2
1020,2
1019,1
1019,4
1019,3
1019,3
1018,4
1017,6
1016,6
1020,4
1020,5
1028,2
1028,2
1015,6
1015,5
1016,6
1016,6
1019,1
1016,3
1017,3
1019,2
1016,2
1016,1
1016,1
1017,2
1017,1
1018,2
1016,3
1015,4
1015,5
1014,5
1013,4
1013,4
1012,4
1011,6
1011,6
1011,7
1011,5
1012,5
1013,3
1013,3
1015,1
1014,0
1014,0
1016,1
1015,0
1015,0
1015,1
1017,1
1016,2
1016,1
1017,2
1015,3
1015,3
1015,4
1014,4
1013,4
1013,5
1012,7
1012,6
1012,7
1012,3
1015,3
1015,1
1013,5
1013,3
1016,2
1013,2
1014,2
1016,2
1014,0
1016,0
1015,2
1015,2
1015,3
1015,3
1014,4
1014,3
1013,2
1013,3
1014,3
1011,4
1010,4
1009,2
1009,3
1010,4
1013,3
1014,2
1012,2
1012,2
1014,0
1012,1
1014,0
1012,1
1012,2
1012,0
1013,2
1013,1
1012,2
1014,1
1012,1
1011,1
1010,1
1009,2
1008,2
1008,4
1007,4
1006,3
1008,2
1006,3
1009,1
1009,2
1008,2
1008,2
1010,2
1008,1
1010,2
1009,0
1009,1
1010,2
1010,2
1010,2
1010,2
1012,1
1010,2
1010,2
1009,3
1009,3
1009,2
1009,4
1009,3
1009,4
1012,3
1009,5
1013,3
1014,3
1013,4
1013,2
1015,1
1014,2
1014,0
1016,1
1015,2
1016,1
1018,1
1016,2
1017,0
1018,1
1016,1
1016,3
1015,3
1015,2
1014,2
1014,3
1013,3
1017,3
1014,4
1014,3
1014,3
1015,3
1018,2
1016,2
1019,3
1017,2
1017,3
1019,2
1018,3
1018,2
1018,1
1018,1
1018,1
1017,1
1017,4
1016,3
1015,1
1014,4
1013,3
1012,2
1011,5
1011,5
1011,2
1011,3
1011,2
1014,2
1012,5
1015,1
1013,2
1013,1
1013,2
1015,2
1013,2
1015,1
1013,3
1013,2
1013,1
1012,1
1011,2
1010,1
1009,4
1008,4
1007,5
1006,6
1005,3
1005,3
1005,4
1005,2
1006,2
1007,2
1008,2
1008,1
1008,2
1008,4
1008,3
1010,3
1008,2
1008,1
1010,1
1009,1
1008,1
1008,2
1008,2
1008,3
1009,2
1006,3
1005,1
1005,2
1005,3
1005,2
1004,3
1005,2
1006,2
1008,2
1009,3
1011,3
1010,5
1011,5
1011,4
1011,4
1012,3
1012,4
1012,4
1012,2
1012,2
1013,3
1013,4
1013,5
1012,2
1012,3
1011,4
1011,1
1011,3
1011,3
1010,6
1011,5
1011,5
1013,2
1012,2
1013,1
1012,2
1012,1
1012,1
1012,1
1012,1
1012,2
1013,1
1013,3
1014,1
1013,3
1014,3
1014,2
1014,3
1014,2
1014,3
1014,3
1014,2
1014,4
1014,3
1015,2
1015,2
1015,3
1016,3
1016,3
1017,1
1016,3
1016,3
1016,2
1016,2
1016,3
1016,3
1017,1
1017,1
1017,2
1017,1
1016,3
1016,2
1016,3
1015,3
1015,3
1014,3
1014,3
1015,6
1015,6
1016,3
1017,2
1017,3
1019,2
1018,2
1018,2
1018,2
1018,1
1018,2
1018,1
1019,1
1019,1
1019,2
1019,1
1019,3
1018,1
1018,4
1017,5
1017,6
1018,3
1016,5
1015,2
1015,3
1015,4
1015,4
1016,4
1017,4
1017,5
1017,5
1017,2
1017,2
1017,2
1017,1
1018,1
1019,2
1018,3
1018,2
1020,1
1017,3
1017,4
1016,5
1015,5
1017,4
1014,4
1014,5
1014,8
1014,3
1014,7
1015,6
1016,4
1016,6
1016,6
1017,4
1017,3
1017,3
1018,2
1018,1
1019,1
1020,1
1019,2
1020,4
1020,4
1019,2
1019,3
1019,3
1018,3
1017,5
1017,4
1017,6
1017,4
1019,5
1018,8
1018,6
1019,5
1019,4
1020,4
1020,5
1020,2
1020,2
1020,3
1020,1
1021,2
1021,2
1021,3
1022,2
1022,3
1022,2
1022,4
1021,2
1021,5
1020,4
1020,6
1019,6
1019,4
1019,7
1019,6
1020,6
1020,2
1020,3
1022,2
1021,2
1020,4
1020,4
1022,0
1020,0
1020,2
1021,0
1020,2
1020,2
1020,1
1018,2
1018,3
1017,4
1016,4
1015,5
1014,6
1013,5
1013,5
1012,7
1012,4
1013,5
1015,2
1014,4
1015,1
1014,2
1014,0
1014,0
1014,0
1014,0
1015,1
1015,1
1015,1
1015,1
1015,2
1014,3
1014,5
1013,6
1013,5
1013,5
1012,6
1011,4
1011,5
1011,5
1011,4
1011,4
1013,1
1012,3
1013,3
1014,1
1013,0
1015,0
1014,2
1014,1
1015,1
1015,1
1016,1
1017,1
1016,2
1016,2
1016,2
1016,2
1015,1
1015,2
1014,2
1014,4
1014,6
1014,4
1015,2
1015,4
1015,4
1017,4
1018,2
1019,3
1018,2
1020,2
1019,3
1019,2
1020,2
1019,1
1020,1
1019,1
1019,1
1019,2
1019,1
1018,3
1018,1
1020,5
1017,4
1016,5
1015,2
1015,3
1015,4
1015,3
1017,3
1016,5
1016,5
1016,5
1016,4
1016,2
1016,2
1016,2
1017,3
1017,2
1017,3
1018,2
1017,3
1017,4
1017,4
1016,4
1015,5
1016,4
1014,4
1014,7
1013,6
1013,5
1013,8
1014,5
1014,5
1016,2
1015,3
1015,3
1015,3
1016,1
1015,1
1015,1
1015,1
1016,1
1015,1
1016,1
1016,2
1015,2
1015,2
1015,2
1014,5
1013,4
1013,5
1013,4
1012,3
1012,4
1012,5
1013,4
1013,2
1013,1
1013,2
1013,2
1013,2
1014,3
1014,3
1015,0
1015,0
1015,2
1016,2
1016,2
1015,2
1016,1
1016,3
1016,3
1015,3
1015,3
1015,2
1014,3
1014,2
1014,5
1015,3
1017,3
1018,1
1017,3
1017,3
1018,1
1018,3
1018,3
1018,1
1019,2
1019,0
1019,1
1020,1
1020,1
1020,1
1020,2
1019,1
1019,2
1019,2
1018,2
1018,2
1017,2
1019,5
1017,3
1017,3
1017,3
1018,4
1018,4
1018,3
1018,2
1018,1
1018,1
1018,1
1018,3
1018,3
1019,3
1018,1
1018,2
1019,3
1019,1
1019,3
1020,2
1020,2
1019,1
1019,1
1019,1
1019,1
1019,1
1019,3
1019,1
1019,2
1019,2
1019,2
1019,2
1019,2
1019,2
1019,1
1018,2
1018,1
1018,1
1019,1
1020,1
1019,1
1019,1
1019,2
1019,1
1019,2
1018,2
1018,6
1018,1
1018,1
1018,3
1018,2
1019,2
1019,3
1020,2
1020,2
1020,2
1020,1
1020,1
1021,2
1021,1
1021,1
1022,1
1023,1
1023,2
1023,2
1023,1
1023,2
1023,2
1023,3
1024,3
1022,4
1022,5
1022,5
1022,5
1022,3
1023,3
1024,4
1024,4
1024,4
1024,6
1024,3
1024,2
1024,2
1024,0
1026,1
1024,1
1024,0
1024,1
1026,4
1023,1
1023,2
1022,3
1022,5
1021,5
1020,5
1020,3
1019,5
1021,6
1019,6
1019,4
1019,4
1020,4
1020,4
1020,4
1020,0
1020,0
1020,0
1020,0
1020,0
1020,0
1021,2
1022,4
1020,1
1020,3
1019,3
1018,4
1018,5
1017,5
1016,3
1016,5
1015,5
1015,4
1015,4
1015,3
1016,5
1016,5
1016,3
1016,3
1016,1
1016,1
1016,0
1017,0
1019,0
1017,0
1017,0
1017,1
1019,4
1017,3
1016,3
1016,4
1015,4
1016,5
1014,4
1014,4
1013,3
1013,3
1013,3
1016,1
1017,1
1015,3
1018,1
1016,1
1016,0
1017,1
1019,0
1017,0
1017,2
1019,0
1018,1
1020,1
1018,4
1018,2
1017,3
1017,2
1016,4
1015,3
1014,4
1014,2
1013,4
1015,4
1013,4
1016,2
1016,2
1014,4
1017,1
1015,2
1015,1
1015,1
1017,2
1015,2
1015,2
1017,1
1016,0
1017,2
1015,2
1014,4
1014,4
1013,3
1013,4
1014,2
1011,3
1010,4
1010,7
1012,5
1009,7
1012,2
1011,5
1011,4
1011,2
1014,1
1012,3
1012,2
1014,2
1013,1
1014,0
1013,2
1014,2
1014,1
1014,1
1014,1
1014,3
1014,1
1014,3
1013,2
1013,2
1013,4
1012,1
1012,2
1012,2
1012,1
1012,1
1012,1
1014,1
1012,0
1012,0
1012,0
1014,2
1013,2
1015,0
1013,3
1014,1
1014,3
1014,3
1014,1
1014,2
1014,3
1013,2
1013,3
1013,4
1012,4
1012,4
1012,2
1013,2
1013,3
1016,3
1015,2
1015,4
1017,2
1016,2
1018,1
1016,1
1016,1
1016,1
1017,2
1017,3
1017,5
1017,5
1017,4
1017,4
1016,3
1016,3
1015,3
1015,4
1014,5
1014,5
1014,7
1015,7
1016,5
1018,3
1017,3
1017,3
1019,3
1018,3
1019,2
1018,1
1019,0
1020,2
1020,1
1020,1
1020,4
1021,2
1020,2
1020,2
1020,3
1020,5
1020,5
1024,4
1018,3
1018,4
1018,4
1019,7
1019,6
1021,3
1020,3
1020,3
1021,1
1020,1
1020,1
1020,1
1020,4
1020,0
1021,0
1021,1
1021,1
1021,2
1020,1
1020,4
1019,4
1019,5
1018,6
1017,4
1016,4
1016,3
1017,3
1015,4
1015,6
1016,5
1015,4
1015,4
1017,1
1015,3
1017,1
1015,1
1015,0
1015,1
1017,1
1015,1
1015,1
1015,2
1014,2
1014,4
1013,4
1012,3
1012,4
1011,6
1011,3
1010,4
1009,5
1010,6
1011,5
1014,2
1012,7
1012,5
1013,4
1012,1
1013,1
1014,1
1013,1
1013,1
1014,1
1013,1
1014,2
1013,1
1013,1
1013,2
1013,3
1013,4
1012,6
1012,3
1012,4
1013,6
1014,3
1013,4
1014,4
1016,1
1015,2
1015,3
1016,2
1016,1
1016,3
1016,0
1016,0
1017,0
1016,1
1016,2
1016,1
1015,2
1015,1
1015,1
1014,3
1014,2
1013,2
1013,3
1013,4
1012,3
1012,2
1012,2
1013,5
1013,3
1014,3
1014,3
1014,3
1014,2
1014,1
1015,0
1013,1
1014,1
1015,1
1014,1
1014,1
1015,1
1014,2
1013,3
1012,1
1012,2
1011,2
1011,2
1011,4
1011,1
1011,3
1012,2
1012,3
1015,2
1013,3
1015,1
1013,2
1013,3
1013,3
1015,2
1014,2
1014,3
1014,2
1014,2
1013,2
1015,3
1013,2
1012,2
1012,3
1012,4
1011,3
1011,3
1010,4
1011,3
1009,2
1009,3
1011,2
1011,3
1012,1
1012,1
1012,1
1012,1
1012,2
1014,1
1013,2
1013,2
1015,1
1015,3
1015,4
1016,1
1015,2
1015,1
1015,2
1015,2
1014,2
1014,2
1013,2
1013,2
1013,2
1013,2
1014,1
1018,2
1016,3
1016,3
1018,0
1017,3
1017,1
1018,1
1017,1
1018,2
1018,2
1018,1
1018,1
1019,1
1017,2
1017,3
1016,3
1015,4
1014,3
1013,2
1013,2
1013,3
1012,4
1013,3
1013,4
1016,2
1014,4
1016,1
1015,1
1015,1
1015,2
1015,2
1016,4
1016,4
1017,3
1017,3
1018,4
1018,5
1018,3
1018,5
1018,5
1018,5
1020,3
1020,3
1020,2
1020,2
1020,3
1020,1
1021,4
1022,1
1022,1
1023,1
1023,1
1023,2
1023,4
1025,0
1024,1
1025,0
1024,2
1024,2
1025,1
1025,2
1025,1
1024,3
1024,4
1024,5
1025,3
1023,4
1023,2
1022,3
1022,7
1022,4
1022,4
1023,4
1024,1
1023,4
1025,1
1023,4
1023,2
1025,1
1023,1
1023,1
1025,1
1024,0
1025,3
1023,2
1023,1
1023,2
1021,2
1021,4
1020,6
1019,5
1019,4
1018,8
1018,7
1018,7
1018,5
1019,4
1019,4
1019,5
1019,3
1019,2
1019,3
1019,0
1019,1
1019,2
1021,0
1020,0
1019,1
1020,3
1019,2
1020,5
1018,2
1017,4
1016,6
1016,6
1015,5
1017,5
1015,6
1015,6
1017,3
1015,3
1015,4
1018,1
1016,1
1015,0
1015,0
1017,0
1016,0
1017,0
1016,0
1016,0
1016,1
1015,1
1015,2
1014,3
1014,3
1013,3
1012,6
1011,6
1011,7
1012,5
1010,6
1010,4
1012,3
1011,4
1011,4
1013,1
1011,0
1011,0
1013,0
1012,0
1012,0
1013,0
1012,0
1013,0
1013,0
1014,3
1012,1
1013,5
1012,4
1011,4
1010,4
1010,4
1009,3
1009,5
1009,8
1013,3
1011,4
1012,4
1014,2
1013,4
1015,2
1014,1
1015,1
1014,2
1014,2
1015,1
1015,1
1015,3
1015,4
1015,2
1016,1
1016,2
1015,2
1015,3
1014,2
1014,3
1013,4
1013,4
1015,5
1013,8
1014,7
1016,4
1015,5
1015,3
1015,2
1015,1
1015,1
1016,1
1016,2
1016,1
1016,1
1016,1
1016,3
1017,1
1017,2
1017,2
1016,2
1016,2
1016,2
1016,3
1015,2
1015,4
1017,4
1015,2
1016,4
1019,1
1018,3
1019,1
1018,5
1018,3
1018,1
1021,1
1018,1
1018,2
1019,1
1018,1
1018,1
1020,3
1017,2
1017,2
1016,5
1015,8
1014,5
1014,5
1013,5
1013,4
1012,3
1012,2
1013,3
1015,1
1013,3
1013,3
1013,3
1013,2
1013,1
1013,1
1013,1
1013,1
1014,0
1014,0
1014,1
1014,1
1014,2
1014,1
1013,2
1013,1
1013,3
1012,3
1012,2
1012,2
1011,2
1013,3
1014,3
1015,3
1017,2
1016,4
1018,0
1016,3
1018,1
1017,2
1017,2
1019,1
1018,3
1018,2
1018,3
1018,2
1018,2
1017,2
1017,3
1017,4
1016,5
1016,5
1015,3
1015,5
1016,3
1016,3
1016,4
1019,2
1017,4
1020,1
1018,3
1018,2
1018,2
1018,1
1018,2
1018,2
1019,3
1019,1
1019,1
1018,1
1018,2
1017,4
1017,5
1016,3
1016,3
1014,3
1014,3
1013,2
1013,4
1013,4
1013,4
1014,3
1014,3
1014,3
1015,3
1015,0
1015,1
1015,2
1016,0
1016,0
1016,0
1016,0
1017,0
1016,1
1016,2
1016,1
1015,2
1015,1
1014,2
1013,3
1013,2
1013,2
1013,2
1014,5
1015,4
1015,4
1016,1
1016,1
1018,1
1018,2
1018,1
1018,1
1018,0
1019,0
1019,0
1019,2
1019,0
1019,0
1019,2
1018,0
1018,2
1017,2
1016,2
1016,2
1015,1
1014,1
1014,1
1014,1
1014,2
1014,2
1015,3
1015,2
1016,1
1016,1
1017,3
1017,2
1016,2
1016,2
1016,2
1016,1
1015,1
1015,1
1014,3
1014,1
1013,2
1013,1
1011,2
1011,2
1009,2
1009,2
1008,3
1007,2
1007,2
1006,3
1004,1
1003,1
1003,3
1001,3
1001,4
1001,4
1004,5
1004,5
1004,5
1006,5
1006,7
1006,12
1007,10
1008,10
1009,6
1009,11
1012,9
1018,6
1016,7
1024,3
1024,3
1024,3
1024,3
1024,3
1013,5
1009,6
1010,7
1010,1
1011,3
1012,3
1011,3
1012,4
1013,3
1014,2
1015,2
1015,3
1016,6
1016,3
1016,4
1016,6
1017,1
1016,5
1017,5
1017,5
1017,5
1017,3
1018,3
1018,1
1018,1
1019,1
1019,1
1018,2
1018,3
1018,3
1018,3
1018,4
1018,4
1018,4
1018,4
1018,4
1018,1
1017,3
1017,3
1017,4
1016,4
1015,4
1015,4
1015,3
1015,3
1014,3
1014,3
1015,1
1015,2
1017,2
1022,1
1015,3
1017,2
1022,1
1020,2
1027,1
1027,1
1014,1
1014,3
1014,3
1013,4
1013,4
1012,5
1011,5
1013,4
1018,3
1016,3
1023,2
1023,2
1023,2
1023,2
1023,2
1014,2
1011,2
1012,2
1012,2
1018,2
1012,2
1012,1
1012,1
1013,2
1013,2
1013,2
1014,1
1014,3
1014,2
1014,1
1013,2
1013,2
1013,3
1013,3
1013,4
1013,3
1014,3
1015,5
1015,1
1015,2
1015,2
1016,1
1016,2
1016,1
1016,1
1017,1
1017,1
1017,1
1018,1
1018,1
1018,2
1018,2
1018,2
1016,3
1016,1
1016,1
1016,1
1016,5
1016,4
1016,2
1016,2
1016,1
1016,1
1016,1
1016,0
1016,2
1015,2
1015,2
1015,2
1015,1
1015,3
1015,2
1016,3
1016,1
1016,2
1016,2
1016,2
1015,2
1014,5
1014,5
1014,4
1014,6
1014,4
1014,4
1015,5
1015,4
1015,4
1016,3
1016,4
1016,4
1017,1
1017,2
1018,2
1018,2
1019,1
1019,1
1020,2
1021,2
1021,2
1021,3
1021,1
1021,1
1022,1
1022,3
1022,3
1022,1
1022,1
1021,1
1022,2
1022,1
1022,1
1022,1
1022,1
1022,0
1021,0
1021,0
1020,0
1020,0
1020,0
1020,3
1021,2
1021,1
1021,2
1021,2
1021,3
1021,2
1021,3
1021,3
1022,2
1021,1
1021,1
1021,1
1021,0
1022,1
1022,1
1022,1
1022,1
1022,2
1022,1
1022,1
1022,2
1022,1
1022,0
1023,0
1023,0
1023,0
1023,1
1023,2
1023,2
1023,1
1022,2
1022,2
1021,3
1021,2
1021,2
1021,2
1021,2
1021,2
1021,2
1022,2
1022,2
1022,0
1022,0
1022,0
1021,0
1021,1
1021,1
1021,0
1022,1
1022,1
1022,1
1022,1
1020,2
1019,3
1019,4
1019,4
1017,5
1017,2
1016,3
1016,4
1016,3
1017,4
1017,3
1017,4
1017,2
1017,2
1017,1
1017,1
1017,3
1017,1
1017,1
1017,1
1018,0
1018,0
1018,1
1018,2
1018,1
1018,1
1017,1
1017,4
1017,4
1016,4
1016,4
1015,5
1016,3
1016,3
1016,4
1017,4
1017,3
1017,3
1017,1
1017,3
1017,3
1017,0
1017,0
1018,1
1018,1
1018,0
1018,1
1017,2
1017,2
1017,3
1016,4
1016,4
1014,4
1013,4
1013,4
1013,4
1014,3
1014,3
1014,3
1015,2
1015,2
1015,1
1016,1
1015,1
1015,1
1016,1
1016,1
1016,1
1016,1
1016,1
1016,1
1016,2
1016,2
1015,4
1014,3
1014,4
1014,4
1012,4
1012,4
1012,2
1012,2
1013,3
1013,3
1014,3
1014,3
1014,1
1014,1
1014,0
1014,0
1015,0
1015,0
1015,0
1016,1
1016,1
1016,1
1016,1
1016,2
1015,4
1015,3
1014,4
1013,3
1013,4
1013,4
1013,3
1014,4
1015,4
1015,5
1016,2
1016,2
1016,4
1017,3
1017,3
1017,1
1017,1
1017,1
1017,1
1017,0
1017,1
1017,1
1017,2
1016,2
1016,4
1015,2
1015,2
1014,4
1014,5
1014,6
1014,6
1014,5
1014,5
1014,5
1014,4
1014,4
1014,2
1013,1
1013,1
1012,1
1012,1
1012,1
1012,1
1012,2
1012,1
1011,1
1011,1
1011,2
1011,2
1011,1
1010,4
1010,1
1009,2
1009,1
1009,2
1009,1
1009,1
1010,1
1011,3
1011,2
1011,2
1011,1
1011,1
1011,2
1011,1
1011,3
1011,3
1012,2
1012,2
1012,2
1012,3
1012,1
1011,1
1011,2
1011,2
1010,3
1009,5
1009,3
1009,3
1010,4
1010,0
1010,0
1010,4
1010,4
1011,3
1010,2
1010,2
1010,3
1012,3
1023,1
1024,1
1015,2
1011,3
1011,3
1011,4
1011,4
1010,3
1010,4
1010,4
1009,2
1009,1
1010,3
1010,1
1010,2
1010,2
1011,4
1011,3
1011,3
1011,4
1011,3
1011,3
1010,2
1011,1
1011,2
1011,2
1013,1
1013,3
1015,2
1015,2
1016,3
1016,3
1016,2
